,Date,Open,High,Low,Close,Adj Close,Volume
0,13-06-2023,213.0,220.899994,212.100006,218.300003,216.109116,313388.0
1,14-06-2023,221.0,222.649994,217.149994,220.149994,217.940552,226466.0
2,15-06-2023,221.899994,221.899994,208.75,212.199997,210.070328,391097.0
3,16-06-2023,213.0,216.75,211.5,212.600006,210.466324,231080.0
4,19-06-2023,215.949997,215.949997,211.0,211.800003,209.674362,135535.0
5,20-06-2023,213.899994,215.350006,211.0,214.850006,212.693741,116988.0
6,21-06-2023,216.0,217.0,212.550003,213.350006,211.208801,179061.0
7,22-06-2023,215.5,218.899994,210.100006,211.300003,209.179367,294893.0
8,23-06-2023,215.0,215.0,209.449997,212.449997,210.317825,129629.0
9,26-06-2023,212.449997,215.800003,209.100006,212.800003,210.664322,202958.0
10,27-06-2023,212.800003,214.0,208.199997,209.800003,207.694427,128377.0
11,28-06-2023,211.800003,213.699997,210.0,210.949997,208.832886,83326.0
12,30-06-2023,213.399994,213.399994,209.050003,210.25,208.139908,80071.0
13,03-07-2023,212.800003,219.699997,209.600006,215.850006,213.683716,438961.0
14,04-07-2023,217.600006,218.050003,214.199997,216.699997,214.525177,203120.0
15,05-07-2023,218.75,221.0,213.550003,215.0,212.842239,238717.0
16,06-07-2023,215.0,221.300003,215.0,219.100006,216.901093,204364.0
17,07-07-2023,215.75,219.699997,214.699997,216.949997,214.772659,134493.0
18,10-07-2023,216.949997,227.050003,212.600006,223.699997,221.454926,346913.0
19,11-07-2023,225.699997,227.949997,219.050003,221.449997,219.227493,290991.0
20,12-07-2023,221.5,222.75,216.050003,218.449997,216.257614,144007.0
21,13-07-2023,218.949997,222.100006,215.25,216.850006,214.673676,86814.0
22,14-07-2023,219.0,224.899994,217.699997,221.949997,219.722488,184617.0
23,17-07-2023,223.449997,223.899994,220.100006,222.350006,220.118469,137143.0
24,18-07-2023,222.350006,242.0,222.0,239.350006,236.947861,886576.0
25,19-07-2023,241.0,242.899994,234.300003,237.649994,235.264908,482327.0
26,20-07-2023,238.800003,250.0,236.399994,247.350006,244.867569,719350.0
27,21-07-2023,247.199997,270.0,243.949997,268.450012,265.755829,1315097.0
28,24-07-2023,268.799988,287.350006,268.799988,280.200012,277.387909,1495160.0
29,25-07-2023,277.799988,278.850006,263.450012,265.649994,262.983887,526501.0
30,26-07-2023,266.0,276.75,264.299988,273.299988,270.557129,279902.0
31,27-07-2023,273.299988,276.5,271.100006,273.0,270.260132,121437.0
32,28-07-2023,273.0,273.0,261.100006,264.600006,261.944458,290606.0
33,31-07-2023,264.950012,280.0,243.199997,246.75,244.27359,1194588.0
34,01-08-2023,246.800003,255.800003,243.199997,252.25,249.718384,458281.0
35,02-08-2023,254.0,255.899994,238.649994,247.449997,244.966568,333764.0
36,03-08-2023,253.899994,253.899994,245.350006,246.300003,243.82811,218455.0
37,04-08-2023,252.949997,255.449997,248.300003,252.800003,250.262878,214973.0
38,07-08-2023,254.449997,254.449997,242.350006,243.5,241.056213,257085.0
39,08-08-2023,244.899994,252.050003,244.550003,247.350006,244.867569,195593.0
40,09-08-2023,248.649994,252.899994,247.350006,248.199997,245.70903,164028.0
41,10-08-2023,249.199997,252.050003,248.550003,249.75,247.243484,100879.0
42,11-08-2023,249.0,255.0,243.550003,249.100006,246.600006,154340.0
43,14-08-2023,248.800003,248.899994,242.899994,248.050003,248.050003,86821.0
44,16-08-2023,246.75,259.0,246.699997,252.600006,252.600006,227820.0
45,17-08-2023,252.600006,256.0,248.050003,249.25,249.25,113274.0
46,18-08-2023,248.0,254.0,243.5,252.800003,252.800003,275975.0
47,21-08-2023,253.649994,258.799988,248.449997,250.350006,250.350006,189471.0
48,22-08-2023,251.949997,260.899994,251.350006,252.899994,252.899994,372234.0
49,23-08-2023,253.100006,255.600006,250.050003,252.449997,252.449997,172425.0
50,24-08-2023,252.949997,255.300003,245.600006,247.399994,247.399994,166490.0
51,25-08-2023,245.949997,254.850006,237.300003,249.550003,249.550003,452230.0
52,28-08-2023,250.149994,258.5,250.0,250.899994,250.899994,432523.0
53,29-08-2023,251.050003,255.699997,249.399994,250.949997,250.949997,210938.0
54,30-08-2023,252.949997,254.699997,250.300003,251.050003,251.050003,167159.0
55,31-08-2023,251.550003,259.0,247.75,250.75,250.75,324359.0
56,01-09-2023,253.550003,258.0,250.800003,256.049988,256.049988,316418.0
57,04-09-2023,260.0,264.950012,252.699997,256.399994,256.399994,635457.0
58,05-09-2023,257.149994,259.049988,250.5,254.050003,254.050003,204233.0
59,06-09-2023,257.850006,257.850006,250.550003,252.949997,252.949997,134564.0
60,07-09-2023,254.649994,258.5,251.149994,256.649994,256.649994,202140.0
61,08-09-2023,259.299988,279.399994,258.950012,271.950012,271.950012,2704437.0
62,11-09-2023,260.0,261.5,252.0,253.199997,253.199997,1905864.0
63,12-09-2023,253.0,256.200012,218.25,223.350006,223.350006,2399108.0
64,13-09-2023,219.0,237.600006,218.0,235.350006,235.350006,1709433.0
65,14-09-2023,236.5,241.149994,235.399994,237.050003,237.050003,408859.0
66,15-09-2023,237.649994,241.899994,235.399994,237.899994,237.899994,352047.0
67,18-09-2023,237.449997,244.300003,236.949997,243.0,243.0,370380.0
68,20-09-2023,242.0,244.899994,237.5,238.100006,238.100006,403651.0
69,21-09-2023,238.100006,241.100006,234.100006,235.399994,235.399994,253845.0
70,22-09-2023,235.399994,237.550003,230.5,234.5,234.5,221839.0
71,25-09-2023,235.800003,235.899994,229.300003,233.899994,233.899994,210662.0
72,26-09-2023,234.550003,237.5,232.5,236.149994,236.149994,222638.0
73,27-09-2023,236.600006,238.5,230.350006,232.050003,232.050003,392156.0
74,28-09-2023,235.550003,235.899994,231.0,232.300003,232.300003,179177.0
75,29-09-2023,231.0,236.0,227.0,231.149994,231.149994,171096.0
76,03-10-2023,230.899994,233.050003,227.050003,229.300003,229.300003,244421.0
77,04-10-2023,229.0,232.699997,226.100006,228.600006,228.600006,211432.0
78,05-10-2023,229.600006,233.449997,228.800003,229.75,229.75,167941.0
79,06-10-2023,230.449997,233.899994,230.350006,230.850006,230.850006,135645.0
80,09-10-2023,230.350006,234.550003,226.5,228.550003,228.550003,252447.0
81,10-10-2023,229.0,232.649994,227.199997,230.25,230.25,260807.0
82,11-10-2023,230.25,239.699997,230.0,236.699997,236.699997,781723.0
83,12-10-2023,236.0,238.550003,233.050003,234.100006,234.100006,211816.0
84,13-10-2023,234.050003,240.899994,229.800003,239.149994,239.149994,705084.0
85,16-10-2023,240.449997,247.800003,238.949997,244.949997,244.949997,680500.0
86,17-10-2023,246.0,262.0,244.0,254.199997,254.199997,1494808.0
87,18-10-2023,255.0,257.950012,243.199997,251.649994,251.649994,1480061.0
88,19-10-2023,254.0,254.0,240.850006,241.449997,241.449997,668303.0
89,20-10-2023,241.899994,247.300003,235.350006,237.0,237.0,763429.0
90,23-10-2023,237.399994,239.550003,215.199997,217.550003,217.550003,876256.0
91,25-10-2023,221.449997,224.149994,214.399994,216.300003,216.300003,485229.0
92,26-10-2023,216.300003,217.75,209.300003,212.199997,212.199997,804077.0
93,27-10-2023,213.850006,228.0,213.800003,222.699997,222.699997,626550.0
94,30-10-2023,223.149994,224.550003,215.5,216.199997,216.199997,296199.0
95,31-10-2023,216.75,231.0,216.149994,224.199997,224.199997,1323055.0
96,01-11-2023,224.399994,227.949997,217.199997,220.550003,220.550003,210153.0
97,02-11-2023,222.0,223.899994,219.100006,221.100006,221.100006,222786.0
98,03-11-2023,220.600006,229.149994,220.600006,226.899994,226.899994,268356.0
99,06-11-2023,228.899994,229.600006,224.25,225.550003,225.550003,189332.0
100,07-11-2023,226.5,229.050003,224.350006,227.100006,227.100006,188851.0
101,08-11-2023,226.399994,228.300003,225.149994,225.699997,225.699997,124071.0
102,09-11-2023,226.5,229.449997,223.350006,227.100006,227.100006,194247.0
103,10-11-2023,224.050003,231.100006,224.050003,228.949997,228.949997,178099.0
104,13-11-2023,231.300003,239.5,225.0,238.449997,238.449997,632175.0
105,15-11-2023,237.300003,239.600006,234.100006,235.850006,235.850006,318842.0
106,16-11-2023,236.050003,237.350006,231.5,235.699997,235.699997,260970.0
