Date,Open,High,Low,Close,Adj_Close,Volume
13-06-2023,213,220.899994,212.100006,218.300003,216.109116,313388
14-06-2023,221,222.649994,217.149994,220.149994,217.940552,226466
15-06-2023,221.899994,221.899994,208.75,212.199997,210.070328,391097
16-06-2023,213,216.75,211.5,212.600006,210.466324,231080
19-06-2023,215.949997,215.949997,211,211.800003,209.674362,135535
20-06-2023,213.899994,215.350006,211,214.850006,212.693741,116988
21-06-2023,216,217,212.550003,213.350006,211.208801,179061
22-06-2023,215.5,218.899994,210.100006,211.300003,209.179367,294893
23-06-2023,215,215,209.449997,212.449997,210.317825,129629
26-06-2023,212.449997,215.800003,209.100006,212.800003,210.664322,202958
27-06-2023,212.800003,214,208.199997,209.800003,207.694427,128377
28-06-2023,211.800003,213.699997,210,210.949997,208.832886,83326
30-06-2023,213.399994,213.399994,209.050003,210.25,208.139908,80071
03-07-2023,212.800003,219.699997,209.600006,215.850006,213.683716,438961
04-07-2023,217.600006,218.050003,214.199997,216.699997,214.525177,203120
05-07-2023,218.75,221,213.550003,215,212.842239,238717
06-07-2023,215,221.300003,215,219.100006,216.901093,204364
07-07-2023,215.75,219.699997,214.699997,216.949997,214.772659,134493
10-07-2023,216.949997,227.050003,212.600006,223.699997,221.454926,346913
11-07-2023,225.699997,227.949997,219.050003,221.449997,219.227493,290991
12-07-2023,221.5,222.75,216.050003,218.449997,216.257614,144007
13-07-2023,218.949997,222.100006,215.25,216.850006,214.673676,86814
14-07-2023,219,224.899994,217.699997,221.949997,219.722488,184617
17-07-2023,223.449997,223.899994,220.100006,222.350006,220.118469,137143
18-07-2023,222.350006,242,222,239.350006,236.947861,886576
19-07-2023,241,242.899994,234.300003,237.649994,235.264908,482327
20-07-2023,238.800003,250,236.399994,247.350006,244.867569,719350
21-07-2023,247.199997,270,243.949997,268.450012,265.755829,1315097
24-07-2023,268.799988,287.350006,268.799988,280.200012,277.387909,1495160
25-07-2023,277.799988,278.850006,263.450012,265.649994,262.983887,526501
26-07-2023,266,276.75,264.299988,273.299988,270.557129,279902
27-07-2023,273.299988,276.5,271.100006,273,270.260132,121437
28-07-2023,273,273,261.100006,264.600006,261.944458,290606
31-07-2023,264.950012,280,243.199997,246.75,244.27359,1194588
01-08-2023,246.800003,255.800003,243.199997,252.25,249.718384,458281
02-08-2023,254,255.899994,238.649994,247.449997,244.966568,333764
03-08-2023,253.899994,253.899994,245.350006,246.300003,243.82811,218455
04-08-2023,252.949997,255.449997,248.300003,252.800003,250.262878,214973
07-08-2023,254.449997,254.449997,242.350006,243.5,241.056213,257085
08-08-2023,244.899994,252.050003,244.550003,247.350006,244.867569,195593
09-08-2023,248.649994,252.899994,247.350006,248.199997,245.70903,164028
10-08-2023,249.199997,252.050003,248.550003,249.75,247.243484,100879
11-08-2023,249,255,243.550003,249.100006,246.600006,154340
14-08-2023,248.800003,248.899994,242.899994,248.050003,248.050003,86821
16-08-2023,246.75,259,246.699997,252.600006,252.600006,227820
17-08-2023,252.600006,256,248.050003,249.25,249.25,113274
18-08-2023,248,254,243.5,252.800003,252.800003,275975
21-08-2023,253.649994,258.799988,248.449997,250.350006,250.350006,189471
22-08-2023,251.949997,260.899994,251.350006,252.899994,252.899994,372234
23-08-2023,253.100006,255.600006,250.050003,252.449997,252.449997,172425
24-08-2023,252.949997,255.300003,245.600006,247.399994,247.399994,166490
25-08-2023,245.949997,254.850006,237.300003,249.550003,249.550003,452230
28-08-2023,250.149994,258.5,250,250.899994,250.899994,432523
29-08-2023,251.050003,255.699997,249.399994,250.949997,250.949997,210938
30-08-2023,252.949997,254.699997,250.300003,251.050003,251.050003,167159
31-08-2023,251.550003,259,247.75,250.75,250.75,324359
01-09-2023,253.550003,258,250.800003,256.049988,256.049988,316418
04-09-2023,260,264.950012,252.699997,256.399994,256.399994,635457
05-09-2023,257.149994,259.049988,250.5,254.050003,254.050003,204233
06-09-2023,257.850006,257.850006,250.550003,252.949997,252.949997,134564
07-09-2023,254.649994,258.5,251.149994,256.649994,256.649994,202140
08-09-2023,259.299988,279.399994,258.950012,271.950012,271.950012,2704437
11-09-2023,260,261.5,252,253.199997,253.199997,1905864
12-09-2023,253,256.200012,218.25,223.350006,223.350006,2399108
13-09-2023,219,237.600006,218,235.350006,235.350006,1709433
14-09-2023,236.5,241.149994,235.399994,237.050003,237.050003,408859
15-09-2023,237.649994,241.899994,235.399994,237.899994,237.899994,352047
18-09-2023,237.449997,244.300003,236.949997,243,243,370380
20-09-2023,242,244.899994,237.5,238.100006,238.100006,403651
21-09-2023,238.100006,241.100006,234.100006,235.399994,235.399994,253845
